cluster_id,cluster_name,cluster_ra,cluster_dec,source_rank,source_ra,source_dec,separation_arcmin,peak_flux_mJy_beam,int_flux_mJy,major_axis_arcsec,minor_axis_arcsec,rms_mJy_beam,sidelobe_prob,is_extended
44,RXC J1217.6+0339,184.42,3.66,6,184.47132499999995,3.6435444444444443,3.2279523251810134,1.36,10.26,15.829999923706055,14.289999961853027,,,True
44,RXC J1217.6+0339,184.42,3.66,7,184.37848749999998,3.618688888888889,3.5103600030364204,44.86,116.16,9.880000114440918,4.71999979019165,,,True
44,RXC J1217.6+0339,184.42,3.66,8,184.37732499999998,3.6161694444444445,3.666849544596295,41.24,344.28,18.1200008392334,13.859999656677246,,,True
44,RXC J1217.6+0339,184.42,3.66,9,184.41393749999997,3.722313888888889,3.7564132306876825,1.91,5.5,10.859999656677246,5.260000228881836,,,True
44,RXC J1217.6+0339,184.42,3.66,10,184.3777375,3.6110694444444444,3.8759890884526147,89.21,219.25,7.210000038146973,6.960000038146973,,,True
44,RXC J1217.6+0339,184.42,3.66,11,184.41577916666665,3.7260500000000003,3.971050046605402,1.8,3.26,8.039999961853027,2.7699999809265137,,,True
44,RXC J1217.6+0339,184.42,3.66,12,184.36571666666663,3.6035833333333334,4.692942398313048,15.41,311.37,50.59000015258789,12.270000457763672,,,True
59,A2055,229.69,6.23,1,229.69098749999998,6.232280555555556,0.14897169587544296,137.78,210.87,6.090000152587891,0.949999988079071,,,True
59,A2055,229.69,6.23,2,229.69411666666664,6.232813888888889,0.29798472240387563,30.37,188.46,21.440000534057617,6.150000095367432,,,True
59,A2055,229.69,6.23,3,229.69575416666663,6.233594444444445,0.4053456908130473,17.86,136.58,21.889999389648438,8.289999961853027,,,True
59,A2055,229.69,6.23,4,229.69885416666665,6.21645,0.9694736192945488,25.36,29.01,2.5799999237060547,1.3899999856948853,,,False
59,A2055,229.69,6.23,5,229.6874083333333,6.273655555555555,2.623890357598471,1.13,1.03,2.190000057220459,0.0,,,False
59,A2055,229.69,6.23,6,229.62743749999998,6.254069444444444,4.001209530331184,1.06,1.4,7.079999923706055,0.0,,,True
59,A2055,229.69,6.23,7,229.62033749999998,6.207605555555555,4.367006490658568,10.19,21.42,8.739999771118164,2.5299999713897705,,,True
63,A1750,202.71,-1.87,1,202.73184999999998,-1.856652777777778,1.535655526041751,24.84,26.58,1.809999942779541,1.100000023841858,,,False
65,A1307,173.22,14.47,1,173.20942916666664,14.518744444444446,2.988435835304133,4.03,6.19,5.159999847412109,2.630000114440918,,,False
65,A1307,173.22,14.47,2,173.25606666666667,14.534594444444444,4.405681000156408,19.19,22.24,3.240000009536743,0.0,,,False
