cluster_id,cluster_name,cluster_ra,cluster_dec,source_rank,source_name,source_ra,source_dec,separation_arcmin,flux_mJy,flux_err_mJy,peak_flux_mJy,major_axis_arcsec,minor_axis_arcsec,frequency_mhz,catalog
174,A1023,157.0,-6.8,2,TGSSADR J102759.5-065032,156.99826,-6.84225,2.5371185643431886,158.5,16.6,112.8,,,150,gmrtas150m
174,A1023,157.0,-6.8,3,TGSSADR J102745.3-064931,156.93883,-6.8254,3.9501130672797786,31.5,5.9,28.4,,,150,gmrtas150m
175,A3528,193.67,-29.22,1,TGSSADR J125441.2-291348,193.67194,-29.23005,0.6114966641926824,12746.7,1274.9,5014.5,,,150,gmrtas150m
175,A3528,193.67,-29.22,2,TGSSADR J125442.7-291636,193.67802,-29.27692,3.4409106655534503,96.1,12.3,42.8,,,150,gmrtas150m
175,A3528,193.67,-29.22,3,TGSSADR J125449.6-291642,193.70667,-29.2784,3.995396030165651,326.4,33.3,102.3,,,150,gmrtas150m
176,A1205,168.34,2.53,1,TGSSADR J111314.6+023245,168.31087,2.54604,1.9937473109812862,53.5,6.8,38.5,,,150,gmrtas150m
176,A1205,168.34,2.53,2,TGSSADR J111316.8+023004,168.32034,2.50112,2.095559943827254,371.2,37.4,346.9,,,150,gmrtas150m
178,A2734,2.84,-28.86,1,TGSSADR J001121.5-285116,2.83969,-28.85471,0.3178177696848033,32.1,6.9,26.6,,,150,gmrtas150m
180,RBS 0540,66.46,-8.56,1,TGSSADR J042551.3-083335,66.46384,-8.5599,0.227912488664363,439.8,44.8,378.9,,,150,gmrtas150m
180,RBS 0540,66.46,-8.56,2,TGSSADR J042555.4-083403,66.48104,-8.56757,1.3283874634763426,135.8,14.8,93.6,,,150,gmrtas150m
184,A761,137.65,-10.58,1,TGSSADR J091036.0-103505,137.65031,-10.58477,0.286783423167114,3460.2,346.7,1085.6,,,150,gmrtas150m
192,A4038,356.93,-28.14,1,TGSSADR J234740.6-280838,356.91916,-28.14407,0.62333604773915,4741.3,474.4,1029.3,,,150,gmrtas150m
192,A4038,356.93,-28.14,2,TGSSADR J234744.7-280705,356.93655,-28.11815,1.356038346364029,112.8,12.9,87.6,,,150,gmrtas150m
193,A3104,48.58,-45.42,1,TGSSADR J031440.5-452348,48.66885,-45.39676,3.993942155628394,117.6,12.9,53.8,,,150,gmrtas150m
193,A3104,48.58,-45.42,2,TGSSADR J031442.2-452615,48.67623,-45.43768,4.18857636821094,73.6,9.8,60.0,,,150,gmrtas150m
199,A514,72.05,-20.47,1,TGSSADR J044800.6-202733,72.00291,-20.4592,2.725244937398727,700.4,70.6,207.3,,,150,gmrtas150m
199,A514,72.05,-20.47,2,TGSSADR J044758.8-202856,71.99521,-20.48223,3.165910397564517,176.2,18.6,58.7,,,150,gmrtas150m
199,A514,72.05,-20.47,3,TGSSADR J044809.5-202500,72.03959,-20.41681,3.2446208761812154,246.0,25.7,167.7,,,150,gmrtas150m
199,A514,72.05,-20.47,4,TGSSADR J044804.4-202501,72.01864,-20.41702,3.635004781071724,516.9,52.5,109.8,,,150,gmrtas150m
201,RXC J1416.8-1158,214.21,-11.98,1,TGSSADR J141709.9-115920,214.29144,-11.98891,4.809698714254979,25.4,5.4,22.9,,,150,gmrtas150m
202,RXC J1459.0-0843,224.76,-8.73,1,TGSSADR J145905.2-084216,224.77173,-8.70445,1.6834624102471947,135.4,14.9,78.4,,,150,gmrtas150m
