ou,ID,&,name,&,ra(deg),&,dec(deg),&,observed,* (observed in 2019),\\\hline,need exposure(hr) ,u+g,r+i+z,processed,old need(hr),2019obs+otr exp(hr),202002obs+otr exp(hr),extra,202011obs,202104obs,202107obs,202108obs,202112obs,202201obs,202202obs,202203obs,202205obs,202206obs,202207obs,202208obs,202209obs,202211obs,202212obs,202303obs,202304obs,202306obs,202307obs,202308obs,202310obs,202312obs,202406-7obs,redshift,lx,observed by Anja,E(B-V) SFD center,Affected by API,\\\hline,DES,SM vs PS1,Previous studies (lensing? or dynamical mass?),Links,Relaxed,Paper II,Chandra,eRosita,XMM,Processed by,Latest processing date,Processing finished
193,102,&,A3104,&,48.58,&,-45.42,&,partially,,\\,2.97,0.00,2.97,,3.81,0,,,,,,,,,,,,,,,,,,,,,,,0.13,,0.70,0.0718,1.03E+44,,,,\\,,,,,,,,,,,,
195,103,&,RXC J2125.2-0657,&,321.30,&,-6.97,&,almost,,\\,0.59,0.00,0.59,,4.81,0,,,,,,,,,,,,,,0.04,,,,,,0.17,,,,,4.00,0.1153,1.02E+44,,,,\\,,,,,,,,,,,,
199,104,&,A514,&,72.05,&,-20.47,&,partially,*,\\,2.96,0.00,2.96,,3.81,0.39,,,,,,,,0.46,,,,,,,,,,,,,,,,,,0.072,1.00E+44,,,,\\,1,,,,,,,,,,,
200,105,&,A2589,&,350.97,&,16.81,&,partially,,\\,3.54,0.00,3.54,,4.81,0,,,,,,,,,,,,,,,,,,,,,,,,,1.27,0.0416,1.00E+44,,,,\\,,,,,,,,,,,,
201,106,&,RXC J1416.8-1158,&,214.21,&,-11.98,&,yes,,\\,0.00,0.00,0.00,,4.81,0,,,,,,,,,,,,,,,,,,,,,,,,,4.81,0.0982,1.00E+44,,,,\\,,,,,,,,,,,,
202,107,&,RXC J1459.0-0843,&,224.76,&,-8.73,&,almost,,\\,0.63,0.00,0.63,,4.81,0,,,,,,,,,,,,,,0.47,,,,,,,,,,,3.70,0.1043,1.00E+44,,,,\\,,,,,,,,,,,,
,,,,,,,,yes,90,,,,,,30,379.68,51.70,6.79,9.12,6.48,7.09,24.61,14.96,9.00,23.55,3.39,6.92,4.80,0.76,12.85,64.67,1.13,1.59,0.94,30.25,4.68,7.82,11.01,0.81,6.49,3.08,38.87,,,,,,,,,,,,,,,,,,
20210701: consistent with sheets of observation,,,,,,,,almost,5,,cluster number,107,,,,436.64,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,cluster number,,,,,,,,,,,,
Remember update exposure after observation each time!,,,,,,,,partially,12,,sum of need,26,,,3.03,410.47,,,,"Note: the exposure time here is ""effective"" for LoVoCCS (not teff).",,,,,,,,,,,,,,,,,,,,,,,0.1199,,,,,sum of need,,,,,,,,,,,,
Exclude bad exposures! 20210701,,,,,,,,no,0,,need/total,5%,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,need/total,,,,,,,,,,,,
