id,name,ra,dec,has_parkes_match,n_parkes_sources,n_hipass,n_hipass_n,n_pmn,n_pkscat90,closest_sep_arcmin,closest_catalog,closest_flux,closest_flux_unit
117,A458,56.48,-24.28,False,0,0,0,0,0,,,,
118,A133,15.68,-21.87,False,0,0,0,0,0,,,,
119,A2052,229.18,7.02,True,2,0,0,1,1,0.33770836257311315,PKSCAT90,2.3,Jy
120,A2428,334.06,-9.34,False,0,0,0,0,0,,,,
121,RXC J0049.4-2931,12.35,-29.52,False,0,0,0,0,0,,,,
122,A119,14.08,-1.22,True,2,0,0,1,1,3.710992550669412,PMN,,mJy
127,A2554,348.09,-21.5,False,0,0,0,0,0,,,,
128,A2033,227.85,6.32,True,1,0,0,1,0,2.016474255573936,PMN,,mJy
129,ACOS1111,349.77,-42.11,True,2,0,0,1,1,0.7848933290679516,PKSCAT90,0.74,Jy
130,A42,7.16,-23.64,False,0,0,0,0,0,,,,
132,A3395,96.81,-54.47,False,0,0,0,0,0,,,,
133,A1606,191.16,-11.99,False,0,0,0,0,0,,,,
136,A2147,240.58,16.02,False,0,0,0,0,0,,,,
138,A2670,358.56,-10.41,False,0,0,0,0,0,,,,
139,A3532,194.32,-30.38,True,2,0,0,1,1,1.5312258424613483,PKSCAT90,0.62,Jy
140,A763,138.12,15.94,False,0,0,0,0,0,,,,
142,A2051,229.14,0.95,False,0,0,0,0,0,,,,
147,RXC J0034.6-0208,8.65,-2.14,False,0,0,0,0,0,,,,
149,A13,3.41,-19.5,False,0,0,0,0,0,,,,
150,RXC J0034.2-0204,8.56,-2.08,False,0,0,0,0,0,,,,
152,A4068,359.98,-39.48,False,0,0,0,0,0,,,,
153,RXC J1139.4-3327,174.86,-33.45,False,0,0,0,0,0,,,,
154,A2566,349.03,-20.46,False,0,0,0,0,0,,,,
155,RXC J0351.1-8212,57.79,-82.22,False,0,0,0,0,0,,,,
163,A2988,33.22,-47.13,False,0,0,0,0,0,,,,
165,A2871,16.95,-36.73,False,0,0,0,0,0,,,,
166,RXC J1332.9-2519,203.23,-25.32,True,1,0,0,1,0,0.612202314146692,PMN,,mJy
167,A2063,230.77,8.6,False,0,0,0,0,0,,,,
170,RX J0820.9+0751,125.26,7.87,True,1,0,0,1,0,1.3548205721287154,PMN,,mJy
171,A2415,331.42,-5.59,True,1,0,0,1,0,0.47537823214290226,PMN,,mJy
173,A3128,52.5,-52.6,False,0,0,0,0,0,,,,
174,A1023,157.0,-6.8,False,0,0,0,0,0,,,,
175,A3528,193.67,-29.22,True,2,0,0,1,1,0.6772801509712647,PKSCAT90,0.48,Jy
176,A1205,168.34,2.53,False,0,0,0,0,0,,,,
178,A2734,2.84,-28.86,False,0,0,0,0,0,,,,
179,A2377,326.48,-10.1,False,0,0,0,0,0,,,,
180,RBS 0540,66.46,-8.56,False,0,0,0,0,0,,,,
184,A761,137.65,-10.58,True,1,0,0,1,0,0.17376270009508352,PMN,,mJy
187,A4067,359.83,-60.7,False,0,0,0,0,0,,,,
188,A3825,329.61,-60.4,False,0,0,0,0,0,,,,
189,A1809,208.25,5.16,False,0,0,0,0,0,,,,
192,A4038,356.93,-28.14,False,0,0,0,0,0,,,,
193,A3104,48.58,-45.42,False,0,0,0,0,0,,,,
195,RXC J2125.2-0657,321.3,-6.97,False,0,0,0,0,0,,,,
199,A514,72.05,-20.47,False,0,0,0,0,0,,,,
200,A2589,350.97,16.81,False,0,0,0,0,0,,,,
201,RXC J1416.8-1158,214.21,-11.98,False,0,0,0,0,0,,,,
202,RXC J1459.0-0843,224.76,-8.73,False,0,0,0,0,0,,,,
