cluster_id,cluster_name,cluster_ra,cluster_dec,source_rank,source_ra,source_dec,separation_arcmin,peak_flux_mJy_beam,total_flux_mJy,major_axis_arcsec,minor_axis_arcsec,resolved,s_code
167,A2063,230.77,8.6,13,230.7939698949619,8.671122581666442,4.498009242907156,12.643303685185725,21.71634869134209,12.28428415457129,10.903939364546792,R,M
167,A2063,230.77,8.6,14,230.74379954545395,8.670818037687194,4.524406849627371,0.5757646877426654,0.945848981400808,15.280532436887942,8.711062033638546,U,S
167,A2063,230.77,8.6,15,230.83289095661823,8.550503355300355,4.768868303116105,0.5456733315235707,0.551015225648641,11.389642367042395,7.183444235262666,U,S
167,A2063,230.77,8.6,16,230.85197261160505,8.574763804440941,5.093486913785913,0.9250285814622348,0.9809789280801824,13.712360859604873,6.266271522692042,U,S
167,A2063,230.77,8.6,17,230.73277067763286,8.521558798045104,5.1990378151024625,1.0482275369334626,4.562383266731806,19.97062886670472,17.658311616655723,U,S
167,A2063,230.77,8.6,18,230.77720517649027,8.51214415046091,5.2886573607518494,0.6303833434161604,0.8850621337580884,10.375716597797325,3.3721624524760285,R,M
167,A2063,230.77,8.6,19,230.81653761946015,8.676442271413475,5.353235662269282,0.8519691638752357,1.033231473060578,12.607324463336962,7.794463248623404,U,S
167,A2063,230.77,8.6,20,230.6961141895237,8.655067181892976,5.488822777959549,0.6522039634770659,0.6389636347830318,11.73102690809177,6.7668386533425195,U,S
167,A2063,230.77,8.6,21,230.7451928127369,8.508930825135185,5.658917580697887,0.6029591515723348,0.6961724021875831,13.48705349070614,6.936086256636102,U,S
167,A2063,230.77,8.6,22,230.79009162220868,8.695222170669402,5.836309842359461,2.090157484445358,2.602122302393235,10.662598942928382,9.460719550963594,U,S
167,A2063,230.77,8.6,23,230.70053007348747,8.530526792867725,5.862078359031531,0.608377251837118,6.620066017223279,37.51515141980848,23.501121061001783,U,S
167,A2063,230.77,8.6,24,230.73021069566627,8.498383081993309,6.538127868991502,0.6235352086521482,0.8768659079080142,14.99338577937836,7.599291107602743,U,S
167,A2063,230.77,8.6,25,230.7161564707723,8.695974847831009,6.5849144575728085,9.245944923222696,17.050096757939507,12.173925230905784,10.814714327044175,R,M
167,A2063,230.77,8.6,26,230.74492198691445,8.710106048140466,6.7717665735553405,1.485000979513532,1.9253328607261067,11.73779270337571,8.950212157829906,U,S
167,A2063,230.77,8.6,27,230.6959791039589,8.686604871974723,6.802992329832965,0.8758633425515944,1.3097241091725076,15.00482802513898,8.075098114697433,U,S
167,A2063,230.77,8.6,28,230.8572378519739,8.675877088438492,6.892458077502018,1.567914596170424,1.783980780694857,10.74017092699155,8.584064625410727,U,S
167,A2063,230.77,8.6,29,230.6670363185339,8.6773758932882,7.671878529700998,2.5224289335201284,3.5771200381629624,11.14274122644614,10.312307193232506,U,S
167,A2063,230.77,8.6,30,230.76444187430545,8.736873827755154,8.21904426468165,0.8833696135573965,0.9339911016043742,12.553953298483224,6.824427886352657,U,S
167,A2063,230.77,8.6,31,230.69951500905705,8.718642775453088,8.255533975249488,0.9890450170055715,2.943262802666325,21.727135222608446,11.098195555153882,U,S
167,A2063,230.77,8.6,32,230.90940514708285,8.589792190172023,8.293022444339492,0.6979250332469643,1.596443193157542,18.56012609310308,9.985858328349568,U,S
167,A2063,230.77,8.6,33,230.8359894500023,8.72284209354256,8.345399962881688,13.814115433619968,27.796371632921424,14.130467249785106,12.052046071685735,R,M
167,A2063,230.77,8.6,34,230.83933175818902,8.721408290508187,8.36518498058209,0.4860521078934488,12.311110695061764,63.87980632280816,32.12889905808417,U,S
167,A2063,230.77,8.6,35,230.64574654194058,8.531220648756916,8.448508557292415,3.50408907118153,5.104963769582338,11.144153744499535,10.591955000918311,U,S
167,A2063,230.77,8.6,36,230.86157244266602,8.708806095033879,8.492577125280949,0.7472287238398059,1.2309456731725383,15.767482720841265,8.465762614992318,U,S
167,A2063,230.77,8.6,37,230.82469129333526,8.735827299036286,8.771551536711845,0.8042208395813103,0.6404264729151168,9.476812949449222,6.808935758374182,U,S
167,A2063,230.77,8.6,38,230.91405069513954,8.559934763378452,8.87796612042736,0.8199608912764684,1.0583557851274583,12.502769464360352,8.364666026076646,U,S
167,A2063,230.77,8.6,39,230.719973029275,8.745206638507476,9.203843596339956,0.569750166392923,1.7284748265732077,16.015213013722178,15.34947151155441,U,S
167,A2063,230.77,8.6,40,230.81659444631276,8.748446438904292,9.325707362349686,1.5155263846573754,2.5021047802386644,15.126109166661044,8.844326115015978,U,S
167,A2063,230.77,8.6,41,230.92955032359654,8.63123726688602,9.648774954744626,0.4644789984255251,2.7729433185698964,28.047982647292486,17.246601129081274,U,S
167,A2063,230.77,8.6,42,230.90839130327225,8.511969520426897,9.763162706335931,0.6087146346463396,1.554918420496758,19.136061904229877,10.815553821576207,U,S
167,A2063,230.77,8.6,43,230.92141844526907,8.664610766737894,9.78305207559689,0.21576558758518044,2.618485439476665,38.76097844964177,25.369367261355688,U,S
167,A2063,230.77,8.6,44,230.70195344088302,8.450971877199764,9.811045450597218,0.6595660190422447,0.7751526260888305,11.77720631127364,8.084977482428876,U,S
167,A2063,230.77,8.6,45,230.77369648708623,8.435618659372924,9.86531914245962,0.6311265811094013,0.4598663308617571,9.721431294354089,6.072612308290326,U,S
167,A2063,230.77,8.6,46,230.61488286955648,8.540386935865179,9.873729380346548,8.064681028833004,11.70007074804191,11.575068692479217,10.155119437834786,U,S
167,A2063,230.77,8.6,47,230.64351414753816,8.490873621368541,9.959634979184548,0.3178268384707416,1.312530037723238,23.253146367461405,14.389163615888666,U,S
170,RX J0820.9+0751,125.26,7.87,1,125.2639625534133,7.8796302019518905,0.6239650148770901,0.6921762868963003,1.4006788553224752,10.59558292871056,4.136506967642465,R,M
170,RX J0820.9+0751,125.26,7.87,2,125.24169075130375,7.857659354680309,1.3162375500169,69.5558715772468,654.1476117968381,91.1892132435005,24.13211661138582,R,M
